"x","y","value"
106.686713102226,-6.14579810291752,79.3704646711067
106.686713102226,-6.14357884100434,51.5786640074882
106.686713102226,-6.14135957909115,30.8545162922057
106.686713102226,-6.13914031717797,17.0261079242943
106.686713102226,-6.13692105526478,8.68017479151645
106.686713102226,-6.13470179335159,4.09373110921645
106.686713102226,-6.13248253143841,1.78871357119724
106.686713102226,-6.13026326952522,0.725639221420785
106.686713102226,-6.12804400761203,0.274125389854736
106.686713102226,-6.12582474569885,0.0967845337459846
106.686713102226,-6.12360548378566,0.0320560303930847
106.686713102226,-6.12138622187247,0.00999077368480502
106.686713102226,-6.11916695995929,0.00293770819166199
106.686713102226,-6.1169476980461,0.000820520183570861
106.688965306794,-6.17242924587576,26.4264612119323
106.688965306794,-6.17020998396258,46.5679461976283
106.688965306794,-6.16799072204939,78.005629019151
106.688965306794,-6.1657714601362,122.991152007084
106.688965306794,-6.15911367439664,304.941898449455
106.688965306794,-6.15689441248346,346.124705109457
106.688965306794,-6.15467515057027,357.755047847325
106.688965306794,-6.15245588865708,336.663078888219
106.688965306794,-6.1502366267439,288.772250429913
106.688965306794,-6.14801736483071,226.222242659613
106.688965306794,-6.14579810291752,162.267501712782
106.688965306794,-6.14357884100434,106.860612831382
106.688965306794,-6.14135957909115,64.7729008943975
106.688965306794,-6.13914031717797,36.2144851917329
106.688965306794,-6.13692105526478,18.707830642042
106.688965306794,-6.13470179335159,8.94247447754375
106.688965306794,-6.13248253143841,3.96160627725993
106.688965306794,-6.13026326952522,1.62979592168229
106.688965306794,-6.12804400761203,0.624258532323287
106.688965306794,-6.12582474569885,0.22330207429748
106.688965306794,-6.12360548378566,0.0748362474715959
106.688965306794,-6.12138622187247,0.0235769051274752
106.688965306794,-6.11916695995929,0.00702492057399013
106.688965306794,-6.1169476980461,0.0020205825613593
106.688965306794,-6.11472843613291,0.000601180644201157
106.688965306794,-6.10807065039335,5.87963953556748e-05
106.688965306794,-6.10585138848017,3.44931015633792e-05
106.688965306794,-6.10363212656698,1.93963664565607e-05
106.688965306794,-6.1014128646538,1.0343143114484e-05
106.688965306794,-6.09919360274061,5.26469950547296e-06
106.688965306794,-6.09697434082742,2.58098074883672e-06
