"x","y","value","cluster"
106.702478534205,-6.15911367439664,16449.1815411055,0
106.702478534205,-6.15689441248346,16447.8390989734,0
106.704730738773,-6.15911367439664,19444.2278731198,0
106.704730738773,-6.15689441248346,19444.0120823351,0
106.706982943342,-6.15911367439664,16445.4044393624,0
106.706982943342,-6.15689441248346,16445.2187918053,0
106.715991761615,-6.09475507891424,16128.2359180777,0
106.722748375321,-6.10585138848017,16494.5100242879,1
106.725000579889,-6.11028991230654,18711.6140915783,2
106.725000579889,-6.10807065039335,21160.8581288617,1
106.725000579889,-6.10585138848017,19837.6085402576,1
106.725000579889,-6.10363212656698,15824.1224442876,1
106.727252784457,-6.11250917421973,16429.6735377201,2
106.727252784457,-6.11028991230654,21322.8426577435,2
106.727252784457,-6.10807065039335,22458.9661520053,2
106.727252784457,-6.10585138848017,19107.1244588087,1
106.729504989026,-6.11250917421973,15833.0536427337,0
106.729504989026,-6.11028991230654,18390.1767743037,2
106.729504989026,-6.10807065039335,18129.0017941255,2
106.731757193594,-6.11916695995929,16981.1555311605,0
106.731757193594,-6.1169476980461,16019.9180564975,0
106.734009398163,-6.11916695995929,16714.2281224783,0
106.734009398163,-6.1169476980461,15866.7349624646,0
106.736261602731,-6.18796407926807,19008.9540177839,3
106.736261602731,-6.18574481735488,20532.7495689313,3
106.736261602731,-6.18352555544169,18948.9289050479,3
106.7385138073,-6.19018334118125,19016.450906005,3
106.7385138073,-6.18796407926807,25047.4384909988,3
106.7385138073,-6.18574481735488,29175.6497115508,3
106.7385138073,-6.18352555544169,29399.5039204653,3
106.7385138073,-6.18130629352851,24576.0970014248,3
106.7385138073,-6.17908703161532,16393.3879818963,0
106.740766011868,-6.19018334118125,17816.7456048023,3
106.740766011868,-6.18796407926807,24881.6291303777,3
106.740766011868,-6.18574481735488,31778.0972588396,3
106.740766011868,-6.18352555544169,35240.5962318516,3
106.740766011868,-6.18130629352851,32010.67984307,3
106.740766011868,-6.17908703161532,22804.6120160804,3
106.743018216436,-6.18796407926807,19043.7595730739,3
106.743018216436,-6.18574481735488,26801.0778225855,3
106.743018216436,-6.18352555544169,32587.0640825659,3
106.743018216436,-6.18130629352851,31783.6361685227,3
106.743018216436,-6.17908703161532,23841.5369876703,3
106.745270421005,-6.18574481735488,17543.1832955694,3
106.745270421005,-6.18352555544169,23032.0488464119,3
106.745270421005,-6.18130629352851,23741.0153437164,3
106.745270421005,-6.17908703161532,18496.2424627535,0
106.754279239279,-6.23678784135817,19483.2863999102,0
106.754279239279,-6.23456857944498,22765.745846698,4
106.754279239279,-6.2323493175318,22833.9787292798,4
106.754279239279,-6.23013005561861,20443.0104555745,4
106.754279239279,-6.22791079370542,16239.2307013108,0
106.756531443847,-6.23678784135817,22710.9740743474,4
106.756531443847,-6.23456857944498,27113.935535122,4
106.756531443847,-6.2323493175318,28067.2700439973,4
106.756531443847,-6.23013005561861,26064.2441326993,4
106.756531443847,-6.22791079370542,21211.9323715356,4
106.758783648416,-6.23678784135817,19312.7588247852,0
106.758783648416,-6.23456857944498,23537.409934589,4
106.758783648416,-6.2323493175318,25246.8233633076,4
106.758783648416,-6.23013005561861,24534.2160084272,4
106.758783648416,-6.22791079370542,20820.3614219098,4
106.761035852984,-6.2323493175318,16589.2784029317,4
106.761035852984,-6.23013005561861,16987.216703081,4
106.763288057552,-6.19240260309444,17821.1710613376,5
106.765540262121,-6.19462186500763,18265.0011172397,5
