country,nThumbsUp,city,reportRating,confidence,reliability,type,uuid,roadType,magvar,subtype,street,location/x,location/y,pubMillis,reportDescription
ID,0,Tangerang,2,0,6,JAM,cd4188e5-24e0-3a32-a4aa-c699cc744960,1,85,JAM_STAND_STILL_TRAFFIC,Benda,106.68435,-6.116467,1507269939150,
ID,0,Tangerang,1,2,9,JAM,eeef9af7-52c8-3621-bab1-ef462940f061,2,29,JAM_HEAVY_TRAFFIC,Husein Sastranegara,106.685356,-6.11566,1507269163096,
ID,0,Bekasi,0,5,10,ROAD_CLOSED,1a5bf67f-4d7b-3853-ba3b-834a2cfa47a3,,0,ROAD_CLOSED_EVENT,,106.952996,-6.249692,1505098069821,proyek becakayu
ID,0,Bekasi,0,0,6,ROAD_CLOSED,7710d23b-cb93-3da1-a341-8c7d29a6c18c,,0,ROAD_CLOSED_EVENT,KH Noer Ali,106.95012,-6.249747,1506332171038,proyek becakayu
ID,0,Bekasi,0,5,10,ROAD_CLOSED,5599dfc6-af2f-35d9-b342-0bb92e24f29a,,0,ROAD_CLOSED_EVENT,KH Noer Ali,106.952996,-6.249692,1506332170892,proyek becakayu
ID,0,Bekasi,0,5,10,ROAD_CLOSED,387246e4-e56d-3b2e-b489-5db7474b0705,,0,ROAD_CLOSED_EVENT,,106.952935,-6.250008,1505098069693,proyek becakayu
ID,0,Jakarta Timur,0,5,10,ROAD_CLOSED,54e01482-2e73-3b0d-baee-69389ec12813,,0,ROAD_CLOSED_EVENT,,106.88675,-6.214291,1502169415200,Konstruksi
ID,0,Jakarta Utara,0,5,10,ROAD_CLOSED,46741695-c9e0-3367-8a90-01b249a47fed,,0,ROAD_CLOSED_EVENT,Inspeksi Kirana,106.94064,-6.149854,1506411510155,Perbaikan Jembatan
ID,0,Jakarta Utara,0,5,10,ROAD_CLOSED,687c510a-52bc-35c7-a2d7-c8da707f8bde,,0,ROAD_CLOSED_EVENT,Inspeksi Kirana,106.939966,-6.151207,1506411510451,Perbaikan Jembatan
ID,0,Jakarta Utara,1,0,5,JAM,bb75d436-bf94-3c51-adad-d9403058421b,2,121,JAM_STAND_STILL_TRAFFIC,Blvd Barat Kelapa Gading,106.89352,-6.153458,1507269277200,
ID,0,Bekasi,0,0,6,JAM,334ff3f8-2a04-3365-91e0-57c2af5026b7,1,107,,,106.925554,-6.292186,1507269645401,
ID,0,Jakarta Utara,3,0,5,JAM,9174ad3c-be03-3fdf-bd44-4b9d67064e55,2,261,JAM_STAND_STILL_TRAFFIC,Danau Sunter Selatan,106.875926,-6.145742,1507269733893,
ID,0,Jakarta Utara,2,0,5,JAM,ef81a461-8697-378b-8eb0-ff99595145a4,2,122,JAM_HEAVY_TRAFFIC,Kelapa Nias Raya,106.901213,-6.149348,1507269744712,
ID,0,Jakarta Utara,2,0,6,JAM,a13393ea-1411-384e-b386-5e6cab09be67,2,304,JAM_MODERATE_TRAFFIC,Blvd Timur Kelapa Gading,106.913247,-6.165513,1507269809698,
ID,0,Jakarta Utara,1,0,5,JAM,4708990a-b126-30c8-8724-d1a4ec32f4c0,2,215,JAM_HEAVY_TRAFFIC,Blvd Kelapa Gading,106.90046,-6.168538,1507269825694,
ID,0,Jakarta Utara,0,0,5,JAM,198eb94b-0863-3c4c-aab6-db5caf8c8c4a,2,185,JAM_MODERATE_TRAFFIC,Blvd Utara Kelapa Gading,106.909282,-6.153417,1507269844120,
ID,0,Jakarta Utara,3,0,5,JAM,58de3881-4c20-37e3-8a11-cf7400256597,1,121,JAM_MODERATE_TRAFFIC,Pulau Jaga Utara,106.893214,-6.157249,1507269895164,
ID,0,Jakarta Utara,1,0,5,JAM,7b0fead5-269d-3919-a0a0-f0d48d03748d,2,121,JAM_HEAVY_TRAFFIC,Kelapa Nias Raya,106.900395,-6.148839,1507270140165,
ID,0,Jakarta Utara,1,0,5,JAM,4bbc4811-faf8-37ee-8f8c-7b7118404125,2,261,JAM_MODERATE_TRAFFIC,Danau Sunter Selatan,106.876595,-6.145631,1507270194051,
ID,0,Jakarta Utara,1,0,5,JAM,0dd06c70-98bc-3fa4-ae29-48a40c60774d,2,356,JAM_HEAVY_TRAFFIC,Pegangsaan Dua,106.916466,-6.159007,1507270198808,
ID,0,Jakarta Pusat,1,2,9,JAM,e13a2d24-a41d-3d6e-b8ad-0c32436372bd,7,245,JAM_STAND_STILL_TRAFFIC,Letjen Suprapto,106.869617,-6.169049,1507268907646,
ID,0,Jakarta Selatan,1,0,6,JAM,ce62e069-7bae-327e-a18c-faa1ee9cc3e4,7,127,,Arteri Permata Hijau,106.784773,-6.222283,1507269006428,
ID,0,Jakarta Barat,2,0,5,JAM,43d6a8bd-0103-35c8-8ba4-a7d6aa4a5349,7,193,JAM_STAND_STILL_TRAFFIC,Lingkar Luar Barat,106.728813,-6.146137,1507269299727,
ID,0,Jakarta Selatan,1,0,5,JAM,0513b36b-460e-3977-8df4-a350285de89a,7,142,,Flyover Mayjen TNI Prof Dr Moestopo,106.805442,-6.246694,1507269363125,
ID,0,Jakarta Selatan,1,0,5,JAM,1cbe079e-48ea-3a68-a41a-42a676c592e9,7,316,JAM_STAND_STILL_TRAFFIC,RA Kartini,106.778195,-6.288966,1507269431401,
ID,0,Jakarta Pusat,0,1,8,WEATHERHAZARD,d0c16d90-08c7-30f5-9bb4-43b2e6e6d2b3,7,7,HAZARD_ON_ROAD_POT_HOLE,Underpass Tanah Abang,106.815374,-6.188531,1507269447425,
ID,0,Jakarta Pusat,2,0,6,JAM,b69f7f9d-d2c8-3530-ad73-0cd2347bd5fe,7,166,JAM_STAND_STILL_TRAFFIC,Gunung Sahari,106.838525,-6.163514,1507269468245,
ID,0,Jakarta Selatan,2,0,5,WEATHERHAZARD,759889cd-4af7-3995-917d-38c202bc8d7c,7,290,HAZARD_ON_SHOULDER_CAR_STOPPED,Sultan Agung,106.841373,-6.207281,1507269503879,
ID,0,Jakarta Barat,1,0,5,JAM,b0b691d8-dbe4-3ca3-a8bf-0cce179147a9,7,112,JAM_STAND_STILL_TRAFFIC,Flyover Daan Mogot,106.770605,-6.161561,1507269572789,
ID,0,Jakarta Selatan,3,0,6,JAM,b10dcfe9-3c56-389d-8260-c547ffc117d1,7,4,JAM_HEAVY_TRAFFIC,Pasar Minggu Raya,106.842712,-6.24983,1507269628466,
ID,0,Jakarta Barat,1,0,5,JAM,7c16d310-dd06-3646-9921-30b2af2a48ac,7,266,JAM_HEAVY_TRAFFIC,Kyai Tapa,106.792194,-6.166719,1507269637905,
ID,0,Jakarta Selatan,2,0,5,JAM,3998b5c8-79e2-3497-8796-1c0241944c4c,7,23,JAM_MODERATE_TRAFFIC,Warung Jati Barat,106.82307,-6.292,1507269708462,
ID,0,Jakarta Pusat,2,0,6,JAM,e4f53d05-7f26-39d4-9750-236cb57a8a1e,7,265,JAM_HEAVY_TRAFFIC,Flyover Roxy,106.798573,-6.166168,1507269714696,
ID,0,Jakarta Barat,2,0,5,JAM,cd802930-b3d0-3d31-9a6c-d151dc0e58ef,7,267,JAM_HEAVY_TRAFFIC,Kyai Tapa,106.797767,-6.16634,1507269730727,
ID,0,Jakarta Selatan,2,0,6,JAM,0474dfd5-0ccd-3623-b1a3-fc1f55e4a3a9,7,0,JAM_STAND_STILL_TRAFFIC,Pattimura,106.800587,-6.232326,1507269781096,
ID,0,Jakarta Selatan,1,1,7,WEATHERHAZARD,b7f64b4a-8cc2-3d31-83f0-5d964bbd2dca,7,111,HAZARD_ON_ROAD_POT_HOLE,Ciledug Raya,106.757238,-6.236071,1507269836814,
ID,0,Jakarta Pusat,2,0,5,JAM,9751afdc-d8b2-3c2f-8dbd-74115cc646b2,7,97,JAM_STAND_STILL_TRAFFIC,Ir H Juanda,106.825914,-6.167099,1507269878362,
ID,0,Jakarta Barat,0,0,6,JAM,3bfd2a60-b264-32f4-94e8-3dc6a07ef70c,7,234,JAM_HEAVY_TRAFFIC,Tomang Raya,106.801138,-6.176421,1507269896576,
ID,0,Jakarta Pusat,1,0,5,JAM,4b58fbbb-51cb-36e4-85e6-32d37ebceb3c,7,252,,Underpass Angkasa,106.839166,-6.158657,1507269938396,
ID,0,Jakarta Barat,0,0,5,JAM,925ea053-8605-3f36-8fb0-4d37e828b5ec,7,165,JAM_MODERATE_TRAFFIC,Hayam Wuruk,106.81596,-6.145827,1507269990940,
ID,0,Jakarta Selatan,2,0,5,JAM,36436285-7478-3285-aada-754b6339eef3,7,161,JAM_MODERATE_TRAFFIC,HR Rasuna Said,106.83137,-6.218965,1507269997911,
ID,0,Jakarta Selatan,1,0,5,JAM,2b1aef44-66eb-376e-8384-bb24fe3875d3,7,283,JAM_HEAVY_TRAFFIC,KH Abdullah Syafi'ie,106.855312,-6.225182,1507270007987,
ID,0,Jakarta Barat,2,0,5,JAM,466f805b-8f3e-3e33-b907-dd3027a78ae6,7,167,JAM_HEAVY_TRAFFIC,Hayam Wuruk,106.818003,-6.154349,1507270011009,
ID,0,Jakarta Barat,2,0,5,JAM,efa92a1a-6ff8-3f97-a69c-9e774f77774b,7,162,JAM_STAND_STILL_TRAFFIC,Pintu Besar Selatan,106.814286,-6.140023,1507270032019,
